epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.4718,2.16663,3.29982,1.1957,0.03531,0.35045,0.09254,0.026,2.64023,2.98175,1.24536,0.000471319,0.000471319,0.000471319
2,142.391,2.01911,2.34123,1.13096,0.17442,0.14795,0.08143,0.02229,3.04338,2.67042,1.28005,0.000928889,0.000928889,0.000928889
3,260.794,1.91855,2.0613,1.12423,0.25923,0.18595,0.15069,0.0433,2.73872,2.56334,1.27582,0.0013676,0.0013676,0.0013676
4,559.948,1.85431,1.94539,1.10432,0.19771,0.21733,0.13331,0.03331,2.98114,2.37777,1.36755,0.00134412,0.00134412,0.00134412
5,833.773,1.89255,1.93151,1.10567,0.22544,0.20443,0.12886,0.0375,2.66867,2.57224,1.24486,0.00131582,0.00131582,0.00131582
6,1031.4,1.78637,1.84235,1.0789,0.32665,0.36198,0.25088,0.0719,2.76884,2.17546,1.29461,0.00128753,0.00128753,0.00128753
